,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
329,SHTFG,8/10/2018,Pre,111_2,1,56.0,1.3434770107269287,0.6296963095664978,0.6637574434280396,0.9444382190704346,0.7727532386779785,1756.0
330,SHTFG,8/24/2018,Pre,121_2,6,92.0,1.7079020738601685,0.5973510146141052,0.6069287061691284,0.8959276080131531,0.7479009628295898,2860.0
331,SHTFG,8/10/2018,Pre,211_2,10,28.0,1.1153746843338013,0.5557464957237244,0.6223118305206299,0.8335302472114563,0.7144153714179993,877.0
332,SHTFG,8/10/2018,Pre,211_1,2,28.0,1.1083223819732666,0.5533084273338318,0.6165637373924255,0.829871416,0.7123966813087463,863.0
333,SHTFG,8/10/2018,Pre,121_1,12,28.0,1.1742746829986572,0.5525906085968018,0.5999083518981934,0.8287937641143799,0.7118010520935059,858.0
334,SHTFG,8/10/2018,Pre,121_1,3,33.0,1.071142315864563,0.5332446694374084,0.5910763740539551,0.799778402,0.6955461502075195,1009.0
335,SHTFG,8/10/2018,Pre,211_2,7,96.0,1.4774233102798462,0.6923395395278931,0.7089692950248718,1.0384018421173096,0.8181858658790588,2904.0
336,SHTFG,8/24/2018,Pre,211_1,5,58.0,1.7187092304229736,0.5871457457542419,0.6043311357498169,0.8806203007698059,0.7398492097854614,1750.0
337,SHTFG,8/10/2018,Pre,214_1,7,63.0,1.3204256296157837,0.6372053623199463,0.6713211536407471,0.955707550048828,0.7783839702606201,1903.0
338,SHTFG,8/10/2018,Pre,121_1,8,55.0,1.1637852191925049,0.5777219533920288,0.6386913061141968,0.8664841055870056,0.7323212027549744,1656.0
339,SHTFG,8/10/2018,Pre,214_2,10,40.0,1.301608920097351,0.6228106021881104,0.6638128757476807,0.934120774,0.7675479054450989,1199.0
340,SHTFG,8/10/2018,Pre,111_1,1,36.0,1.1944726705551147,0.5856192708015442,0.6412131786346436,0.8783376812934875,0.7386378645896912,1075.0
341,SHTFG,8/10/2018,Pre,214_2,2,104.0,1.5300923585891724,0.7001185417175293,0.7187936902046204,1.0500741004943848,0.8235945701599121,3093.0
342,SHTFG,8/10/2018,Pre,111_1,10,65.0,1.4010499715805054,0.6504896879196167,0.6797342300415039,0.9756283164024352,0.7882164120674133,1926.0
343,SHTFG,8/24/2018,Pre,121_1,13,47.0,1.6409718990325928,0.5793598890304565,0.5911384224891663,0.8689452409744263,0.733637273,1379.0
344,SHTFG,8/24/2018,Pre,121_1,8,57.0,1.6611380577087402,0.5763612389564514,0.5858383178710938,0.8644461631774902,0.731227696,1678.0
345,SHTFG,9/12/2018,Pre,111_1,13,68.0,1.525083303451538,0.7711171507835388,0.7746338844299316,1.1565325260162354,0.8707534670829773,2010.0
346,SHTFG,8/10/2018,Pre,111_2,2,43.0,1.3114086389541626,0.6339383125305176,0.6783468127250671,0.950803518295288,0.7759403586387634,1264.0
347,SHTFG,8/24/2018,Pre,211_1,10,59.0,1.798169732093811,0.6184602379798889,0.6109229326248169,0.9275916814804076,0.7642338871955872,1717.0
348,SHTFG,8/10/2018,Pre,121_1,7,55.0,1.2043288946151731,0.5928961634635925,0.6372572183609009,0.8892430067062378,0.7443981766700745,1619.0
349,SHTFG,8/24/2018,Pre,111_2,9,45.0,1.674339771270752,0.5848497748374939,0.5966745018959045,0.8771818280220032,0.7380249500274658,1322.0
350,SHTFG,8/10/2018,Pre,121_1,2,58.0,1.314178466796875,0.6094322204589844,0.6429072022438049,0.9140437245368958,0.7572996020317078,1685.0
351,SHTFG,8/24/2018,Pre,211_2,6,88.0,1.7600711584091189,0.6147359013557434,0.6226583123207092,0.9220015406608582,0.7613824009895325,2540.0
352,SHTFG,8/24/2018,Pre,111_2,3,90.0,1.6791813373565674,0.6008667349815369,0.6138051748275757,0.9012024402618408,0.7506514191627502,2599.0
353,SHTFG,8/10/2018,Pre,121_2,3,83.0,1.319062591,0.6448556780815125,0.6803961396217346,0.9671769738197328,0.7840651869773865,2390.0
354,SHTFG,8/24/2018,Pre,111_2,4,96.0,1.765470266342163,0.613680363,0.6122931241989136,0.920421540737152,0.7605729103088379,2759.0
355,SHTFG,8/10/2018,Pre,211_1,4,59.0,1.292042255401611,0.6142857074737549,0.65313828,0.9213224053382874,0.7610359787940979,1704.0
356,SHTFG,9/12/2018,Pre,211_1,12,74.0,1.4518413543701172,0.7385486364364624,0.7548052072525024,1.1076804399490356,0.8495962619781494,2118.0
357,SHTFG,8/10/2018,Pre,121_2,9,23.0,1.094069480895996,0.556158185,0.6164319515228271,0.8341430425643921,0.7147539854049683,651.0
358,SHTFG,8/10/2018,Pre,121_2,6,98.0,1.3709893226623535,0.6704545617103577,0.6964048147201538,1.005571961402893,0.8027003407478333,2771.0
359,SHTFG,9/28/2018,Pre,214_1,8,79.0,1.3125269412994385,0.6600995659828186,0.698715091,0.990042209625244,0.7952317595481873,2214.0
360,SHTFG,8/10/2018,Pre,111_2,7,105.0,1.4766885042190552,0.6931887865066528,0.7184969782829285,1.0396769046783447,0.8187788724899292,2943.0
361,SHTFG,8/10/2018,Pre,111_1,4,66.0,1.343718647956848,0.6427015066146851,0.679287314,0.963947296142578,0.7824708223342896,1829.0
362,SHTFG,8/10/2018,Pre,211_2,6,88.0,1.438205361366272,0.678424597,0.6967840790748596,1.0175267457962036,0.8083864450454712,2439.0
363,SHTFG,8/24/2018,Pre,211_2,5,73.0,1.7029973268508911,0.5959137082099915,0.6094322204589844,0.8937691450119019,0.7467725276947021,1999.0
364,SHTFG,8/10/2018,Pre,111_1,11,72.0,1.4727448225021362,0.6652865409851074,0.6843729615211487,0.9978210926055908,0.7989844679832458,1995.0
365,SHTFG,9/12/2018,Pre,111_2,6,49.0,1.1919634342193604,0.6397297978401184,0.6939777731895447,0.9594746828079224,0.7802606821060181,1335.0
366,SHTFG,8/10/2018,Pre,121_2,4,97.0,1.4279035329818726,0.6601815819740295,0.691629946,0.99016535282135,0.7952913045883179,2638.0
367,SHTFG,8/10/2018,Pre,111_2,5,105.0,1.4827463626861572,0.6888522505760193,0.7103505730628967,1.0331718921661377,0.815745473,2833.0
368,SHTFG,8/10/2018,Pre,214_2,8,119.0,1.5298960208892822,0.7077570557594299,0.7250455617904663,1.0615291595458984,0.8288565874099731,3229.0
